_id,article_link_list,article_mall,article_referrals,article_date_full,article_price,article_worthy,data_from,article_is_sold_out,article_id,article_channel,article_tese_tags,article_comment,article_unworthy,article_author,article_item_title_mode,article_stock_note,taobao_url,timesort,top_category,create_date,article_link_name,article_channel_url,article_link,article_category,category_layer,gtm,link_nofollow,article_mall_url,article_is_timeout,article_channel_class,article_url,article_channel_id,article_channel_note,article_date,article_title,article_collection,article_link_domain,price,action
6340869,?,亚马逊中国,rbeebee,2016-08-18 15:18:00,499元包邮,50,api,0,6340869,国内,?,26,13,569,0,?,?,147150468837,电脑数码,2017-02-07 10:43:49,?,http://www.smzdm.com/youhui/,http://go.smzdm.com/da50fb12d301a175/ca_aa_yh_163_6340869_569_1567_175,?,?,?,rel= nofollow,http://www.smzdm.com/mall/amazon_cn/,0,z-tag-guonei,http://www.smzdm.com/p/6340869/,3,?,2016-08-18 15:18,Z秒杀：AKG 爱科技 Y50 头戴式耳机,15,amazon.cn,499,dislike
6339654,?,京东,xiaoyuz,2016-08-18 10:42:00,699元包邮,316,api,0,6339654,国内,?,122,36,263,0,?,?,147148815871,电脑数码,2017-02-07 10:43:56,?,http://www.smzdm.com/youhui/,http://go.smzdm.com/4687bba253edfdfe/ca_aa_yh_163_6339654_263_1741_1519,?,?,?,rel= nofollow,http://www.smzdm.com/mall/jd/,0,z-tag-guonei,http://www.smzdm.com/p/6339654/,3,?,2016-08-18 10:42,OCZ 饥饿鲨 Trion 150 480GB 固态硬盘,130,jd.com,699,buy
6334691,?,天猫精选,细雄,2016-08-17 09:35:00,10元包邮（49.9-39.9）,84,api,0,6334691,国内,?,84,47,729,0,?,?,147139771243,食品保健,2017-02-07 10:44:19,?,http://www.smzdm.com/youhui/,http://detail.tmall.com/item.htm?id=536666319402,?,?,?,rel= nofollow,http://www.smzdm.com/mall/tmall/,0,z-tag-guonei,http://www.smzdm.com/p/6334691/,3,?,2016-08-17 09:35,稻香村 6味月饼 540g,31,tmall.com,10,buy
6327500,?,京东,?,2016-08-15 09:01:00,满100减10,63,api,0,6327500,国内,?,55,33,731,0,?,?,147122291173,电脑数码,2017-02-07 10:45:02,?,http://www.smzdm.com/youhui/,http://go.smzdm.com/6be6b5909b6e69b2/ca_aa_yh_163_6327500_731_0_0,?,?,?,rel= nofollow,http://www.smzdm.com/mall/jd/,0,z-tag-guonei,http://www.smzdm.com/p/6327500/,3,?,2016-08-15 09:01,领券提醒：京东 全品类优惠券,51,jd.com,100,buy
6320422,?,亚马逊中国,qwc311,2016-08-12 10:46:00,5888元,191,api,0,6320422,国内,?,86,25,830,0,?,?,147097001651,家居家装,2017-02-07 10:45:31,?,http://www.smzdm.com/youhui/,http://go.smzdm.com/e64ceaf92e0e12dd/ca_aa_yh_37_6320422_830_5707_49,?,?,?,rel= nofollow,http://www.smzdm.com/mall/amazon_cn/,0,z-tag-guonei,http://www.smzdm.com/p/6320422/,3,?,2016-08-12 10:46,Cheers 芝华仕 1083 头等舱皮艺沙发 3座位,207,amazon.cn,5888,buy
6310606,?,京东,?,2016-08-08 23:04:00,5元/50元，无门槛京券,51,api,0,6310606,国内,?,103,119,293,0,?,?,147066864373,家用电器,2017-02-07 10:46:26,PC端,http://www.smzdm.com/youhui/,http://go.smzdm.com/1d4f6e0a586441ce/ca_aa_yh_27_6310606_293_0_0,?,?,?,rel= nofollow,http://www.smzdm.com/mall/jd/,0,z-tag-guonei,http://www.smzdm.com/p/6310606/,3,?,2016-08-08 23:04,0点开抢：京东 家电品类,292,jd.com,5,buy
6296238,?,京东,_wengbf_,2016-08-03 12:04:00,满99元减5元,61,api,0,6296238,国内,?,100,176,307,0,?,?,147019708795,金融旅游,2017-02-07 10:47:21,?,http://www.smzdm.com/youhui/,http://go.smzdm.com/c3221c8c8d4965f4/ca_aa_yh_1523_6296238_307_0_1745,?,?,?,rel= nofollow,http://www.smzdm.com/mall/jd/,0,z-tag-guonei,http://www.smzdm.com/p/6296238/,3,?,2016-08-03 12:04,京东 白条全品类优惠券,193,jd.com,99,buy
6291798,?,亚马逊中国,有钱又帅怪我咯,2016-08-01 23:03:00,2899元包邮,167,api,0,6291798,国内,?,39,121,111,0,?,?,147006382107,电脑数码,2017-02-07 10:47:40,?,http://www.smzdm.com/youhui/,http://go.smzdm.com/fb61102b41318d08/ca_aa_yh_163_6291798_111_249_175,?,?,?,rel= nofollow,http://www.smzdm.com/mall/amazon_cn/,0,z-tag-guonei,http://www.smzdm.com/p/6291798/,3,?,2016-08-01 23:03,SONY 索尼 NW-ZX100 MP3播放器,22,amazon.cn,2899,view
6289255,?,京东,SamulLin,2016-08-01 08:11:00,满200减10、满300减15,48,api,0,6289255,国内,?,77,168,731,0,?,?,147001029843,电脑数码,2017-02-07 10:47:47,?,http://www.smzdm.com/youhui/,http://go.smzdm.com/1281a1fd87867ca9/ca_aa_yh_163_6289255_731_0_0,?,?,?,rel= nofollow,http://www.smzdm.com/mall/jd/,0,z-tag-guonei,http://www.smzdm.com/p/6289255/,3,?,2016-08-01 08:11,今日必领：京东 会员礼包 全品类优惠券,59,jd.com,200,buy
6280555,?,天猫精选,chaochao、Tass,2016-07-28 11:48:00,2999元起（599元定金）,1143,api,0,6280555,国内,?,392,43,491,0,?,?,146967768669,电脑数码,2017-02-07 10:48:17,天猫,http://www.smzdm.com/youhui/,http://detail.tmall.com/item.htm?id=536083355496,?,?,?,rel= nofollow,http://www.smzdm.com/mall/tmall/,0,z-tag-guonei,http://www.smzdm.com/p/6280555/,3,?,2016-07-28 11:48,新品预售：SONY 索尼 正式发布 PlayStation VR 虚拟现实设备,207,tmall.com,2999,buy
